#,District,State,Population,Growth,Sex-Ratio,Literacy
60,Hyderabad,Andhra Pradesh,3943323,2.97 %,954,83.25
61,Darbhanga,Bihar,3937385,19.47 %,911,56.56
62,West Godavari,Andhra Pradesh,3936966,3.51 %,1004,74.63
63,Vellore,Tamil Nadu,3936331,13.20 %,1007,79.17
64,Pashchim Champaran,Bihar,3935042,29.29 %,909,55.7
65,Kolhapur,Maharashtra,3876001,10.01 %,957,81.51
66,Jalpaiguri,West Bengal,3872846,13.87 %,953,73.25
67,Rajkot,Gujarat,3804558,20.02 %,927,80.96
68,Sultanpur,Uttar Pradesh,3797117,18.11 %,983,69.27
69,Karimnagar,Andhra Pradesh,3776269,8.15 %,1008,64.15
70,Thiruvallur,Tamil Nadu,3728104,35.33 %,987,84.03
71,Aurangabad,Maharashtra,3701282,27.76 %,923,79.02
72,Jodhpur,Rajasthan,3687165,27.74 %,916,65.94
73,Bijnor,Uttar Pradesh,3682713,17.60 %,917,68.48
74,Budaun,Uttar Pradesh,3681896,19.95 %,871,51.29
75,Varanasi,Uttar Pradesh,3676841,17.15 %,913,75.6
76,Alwar,Rajasthan,3674179,22.78 %,895,70.72
77,Aligarh,Uttar Pradesh,3673889,22.78 %,882,67.52
78,North West Delhi,Delhi,3656539,27.81 %,865,84.45
79,Ghazipur,Uttar Pradesh,3620268,19.18 %,952,71.78
80,Bankura,West Bengal,3596674,12.65 %,957,70.26
81,Kushinagar,Uttar Pradesh,3564544,23.20 %,961,65.25
82,Ganjam,Orissa,3529031,11.66 %,983,71.09
83,Warangal,Andhra Pradesh,3512576,8.21 %,997,65.11
84,Birbhum,West Bengal,3502404,16.15 %,956,70.68
85,Bulandshahar,Uttar Pradesh,3499171,20.12 %,896,68.88
86,Ludhiana,Punjab,3498739,15.36 %,873,82.2
87,Vaishali,Bihar,3495021,28.57 %,895,66.6
88,Nalgonda,Andhra Pradesh,3488809,7.41 %,983,64.2
89,Bahraich,Uttar Pradesh,3487731,46.48 %,892,49.36
90,Salem,Tamil Nadu,3482056,15.44 %,954,72.86
91,Saharanpur,Uttar Pradesh,3466382,19.66 %,890,70.49
92,Viluppuram,Tamil Nadu,3458873,16.84 %,987,71.88
93,Coimbatore,Tamil Nadu,3458045,18.56 %,1000,83.98
94,Meerut,Uttar Pradesh,3443689,14.89 %,886,72.84
95,Gonda,Uttar Pradesh,3433919,24.17 %,921,58.71
96,Sitamarhi,Bihar,3423574,27.62 %,899,52.05
97,Rae Bareli,Uttar Pradesh,3405559,18.56 %,943,67.25
98,Prakasam,Andhra Pradesh,3397448,11.05 %,981,63.08
99,Nanded,Maharashtra,3361292,16.86 %,943,75.45
100,Durg,Chhattisgarh,3343872,18.98 %,988,79.06
101,Siwan,Bihar,3330464,22.70 %,988,69.45
102,Nagaur,Rajasthan,3307743,19.20 %,950,62.8
103,Thiruvananthapuram,Kerala,3301427,2.07 %,1087,93.02
104,Ernakulam,Kerala,3282388,5.69 %,1027,95.89
105,Indore,Madhya Pradesh,3276697,32.88 %,928,80.87
106,Purnia,Bihar,3264619,28.33 %,921,51.08
107,Barabanki,Uttar Pradesh,3260699,21.96 %,910,61.75
108,Ballia,Uttar Pradesh,3239774,17.31 %,937,70.94
109,Pratapgarh,Uttar Pradesh,3209141,17.50 %,998,70.09
110,Thrissur,Kerala,3121200,4.94 %,1108,95.08
111,Banaskantha,Gujarat,3120506,24.61 %,938,65.32
112,Unnao,Uttar Pradesh,3108367,15.11 %,907,66.37
113,Deoria,Uttar Pradesh,3100946,14.31 %,1017,71.13
114,Kozhikode,Kerala,3086293,7.20 %,1098,95.08
115,Mumbai City,Maharashtra,3085411,-7.57 %,832,89.21
116,Tirunelveli,Tamil Nadu,3077233,12.97 %,1023,82.5
117,Katihar,Bihar,3071029,28.35 %,919,52.24
118,Udaipur,Rajasthan,3068420,23.69 %,958,61.82
119,Madurai,Tamil Nadu,3038252,17.84 %,990,83.45
120,Bhagalpur,Bihar,3037766,25.36 %,880,63.14
121,Medak,Andhra Pradesh,3033288,13.60 %,992,61.42
122,Uttar Dinajpur,West Bengal,3007134,23.15 %,939,59.07
123,Shahjahanpur,Uttar Pradesh,3006538,18.00 %,872,59.54
124,Satara,Maharashtra,3003741,6.93 %,988,82.87
125,Mysore,Karnataka,3001127,13.63 %,985,72.79
126,Begusarai,Bihar,2970541,26.44 %,895,63.87
127,Sri Potti Sriramulu Nellore,Andhra Pradesh,2963557,11.05 %,985,68.9
128,Rohtas,Bihar,2959918,20.78 %,918,73.37
129,Puruliya,West Bengal,2930115,15.52 %,957,64.48
130,Ranchi,Jharkhand,2914253,23.98 %,949,76.06
131,Amravati,Maharashtra,2888445,10.79 %,951,87.38
132,YSR,Andhra Pradesh,2882469,10.79 %,985,67.3
133,Bhavnagar,Gujarat,2880365,16.63 %,933,75.52
134,Nalanda,Bihar,2877653,21.39 %,922,64.43
135,Nagaon,Assam,2823768,22.00 %,962,72.37
136,Sangli,Maharashtra,2822143,9.24 %,966,81.48
137,Koch Bihar,West Bengal,2819086,13.71 %,942,74.78
138,Araria,Bihar,2811569,30.25 %,921,53.53
139,Palakkad,Kerala,2809934,7.35 %,1067,89.31
140,Khammam,Andhra Pradesh,2797370,8.47 %,1011,64.81
141,Yavatmal,Maharashtra,2772348,12.78 %,952,82.82
142,Junagadh,Gujarat,2743082,12.05 %,953,75.8
143,Adilabad,Andhra Pradesh,2741239,10.18 %,1001,61.01
144,South Delhi,Delhi,2731929,20.51 %,862,86.57
145,Bhojpur,Bihar,2728407,21.63 %,907,70.47
146,Tiruchirappalli,Tamil Nadu,2722290,12.57 %,1013,83.23
147,Srikakulam,Andhra Pradesh,2703114,6.52 %,1015,61.74
148,Maharajganj,Uttar Pradesh,2684703,23.50 %,943,62.76
149,Dhanbad,Jharkhand,2684487,11.99 %,909,74.52
150,Tumkur,Karnataka,2678980,3.65 %,984,75.14
151,Sikar,Rajasthan,2677333,17.03 %,947,71.91
152,Bilaspur,Chhattisgarh,2663629,33.29 %,971,70.78
153,Kollam,Kerala,2635375,1.94 %,1113,94.09
154,Raigarh,Maharashtra,2634200,19.31 %,959,83.14
155,Fatehpur,Uttar Pradesh,2632733,14.05 %,901,67.43
156,Cuttack,Orissa,2624470,12.10 %,940,85.5
157,Cuddalore,Tamil Nadu,2605914,14.02 %,987,78.04
158,Barmer,Rajasthan,2603751,32.52 %,902,56.53
159,Buldana,Maharashtra,2586258,15.85 %,934,83.4
160,Bid,Maharashtra,2585049,19.61 %,916,76.99
161,Ajmer,Rajasthan,2583052,18.40 %,951,69.33
162,Gulbarga,Karnataka,2566326,18.01 %,971,64.85
163,Gopalganj,Bihar,2562012,19.02 %,1021,65.47
164,Siddharth Nagar,Uttar Pradesh,2559297,25.45 %,976,59.25
165,Nizamabad,Andhra Pradesh,2551335,8.77 %,1040,61.25
166,Bharatpur,Rajasthan,2548462,21.29 %,880,70.11
167,Mathura,Uttar Pradesh,2547184,22.78 %,863,70.36
168,West Delhi,Delhi,2543243,19.46 %,875,86.98
169,Aurangabad,Bihar,2540073,26.18 %,926,70.32
170,Kannur,Kerala,2523003,4.73 %,1136,95.1
171,Mayurbhanj,Orissa,2519738,13.33 %,1006,63.17
172,Firozabad,Uttar Pradesh,2498156,21.69 %,875,71.92
173,Mirzapur,Uttar Pradesh,2496970,18.00 %,903,68.48
174,Amritsar,Punjab,2490656,15.47 %,889,76.27
175,Tiruppur,Tamil Nadu,2479052,29.11 %,989,78.68
176,Faizabad,Uttar Pradesh,2470996,18.29 %,962,68.73
177,Tiruvannamalai,Tamil Nadu,2464875,12.75 %,994,74.21
178,Basti,Uttar Pradesh,2464464,18.21 %,963,67.22
179,Jabalpur,Madhya Pradesh,2463289,14.51 %,929,81.07
180,Latur,Maharashtra,2454196,17.97 %,928,77.26
181,Bellary,Karnataka,2452595,20.99 %,983,67.43
182,Giridih,Jharkhand,2445474,28.41 %,944,63.14
183,Sabarkantha,Gujarat,2428589,16.62 %,952,75.79
184,Bhilwara,Rajasthan,2408523,19.60 %,973,61.37
185,Thanjavur,Tamil Nadu,2405890,8.56 %,1035,82.64
186,Ambedkar Nagar,Uttar Pradesh,2397888,18.30 %,978,72.23
187,PanchMahal,Gujarat,2390776,18.05 %,949,70.99
188,Sagar,Madhya Pradesh,2378458,17.63 %,893,76.46
189,Bhopal,Madhya Pradesh,2371061,28.62 %,918,80.37
190,Rewa,Madhya Pradesh,2365106,19.86 %,931,71.62
191,Bikaner,Rajasthan,2363937,41.19 %,905,65.13
192,Surguja,Chhattisgarh,2359886,19.66 %,978,60.01
193,Vizianagaram,Andhra Pradesh,2344474,4.23 %,1019,58.89
194,Rampur,Uttar Pradesh,2335819,21.42 %,909,53.34
195,Baleshwar,Orissa,2320529,14.62 %,957,79.79
196,Kheda,Gujarat,2299885,13.62 %,940,82.65
197,Gurdaspur,Punjab,2298323,9.26 %,895,79.95
198,Purbi Singhbhum,Jharkhand,2293919,15.68 %,949,75.49
199,South West Delhi,Delhi,2292958,30.65 %,840,88.28
200,Erode,Tamil Nadu,2251744,11.66 %,993,72.58
201,Khordha,Orissa,2251673,19.94 %,929,86.88
202,North East Delhi,Delhi,2241624,26.78 %,886,83.09
203,Supaul,Bihar,2229076,28.66 %,929,57.67
204,Satna,Madhya Pradesh,2228935,19.19 %,926,72.26
205,Nawada,Bihar,2219146,22.63 %,939,59.76
206,Mau,Uttar Pradesh,2205968,18.98 %,979,73.09
207,Chandrapur,Maharashtra,2204307,6.43 %,961,80.01
208,Jalandhar,Punjab,2193590,11.76 %,915,82.48
209,Dhar,Madhya Pradesh,2185793,25.60 %,964,59
210,Bijapur,Karnataka,2177331,20.50 %,960,67.15
211,Jamnagar,Gujarat,2160119,13.44 %,939,73.65
212,Dindigul,Tamil Nadu,2159775,12.31 %,998,76.26
213,Balrampur,Uttar Pradesh,2148665,27.72 %,928,49.51
214,Jhunjhunun,Rajasthan,2137045,11.67 %,950,74.13
215,Alappuzha,Kerala,2127789,0.88 %,1100,95.72
216,Dohad,Gujarat,2127086,29.98 %,990,58.82
217,Sundargarh,Orissa,2093437,14.35 %,973,73.34
218,Anand,Gujarat,2092745,12.70 %,925,84.37
219,Kachchh,Gujarat,2092371,32.16 %,908,70.59
220,Chhindwara,Madhya Pradesh,2090922,13.07 %,964,71.16
221,Dakshina Kannada,Karnataka,2089649,10.11 %,1020,88.57
222,Bokaro,Jharkhand,2062330,16.01 %,922,72.01
223,Dhule,Maharashtra,2050862,20.08 %,946,72.8
224,Churu,Rajasthan,2039547,6.01 %,940,66.75
225,Pali,Rajasthan,2037573,11.94 %,987,62.39
226,Mahesana,Gujarat,2035064,10.73 %,926,83.61
227,Banka,Bihar,2034763,26.48 %,907,58.17
228,Gwalior,Madhya Pradesh,2032036,24.50 %,864,76.65
229,Pilibhit,Uttar Pradesh,2031007,23.45 %,895,61.47
230,Firozpur,Punjab,2029074,16.21 %,893,68.92
231,Madhepura,Bihar,2001762,31.12 %,911,52.25
232,Jhansi,Uttar Pradesh,1998603,14.54 %,890,75.05
233,Ujjain,Madhya Pradesh,1986864,16.12 %,955,72.34
234,Kottayam,Kerala,1974551,1.07 %,1039,97.21
235,Ganganagar,Rajasthan,1969168,10.04 %,887,69.64
236,Morena,Madhya Pradesh,1965970,23.44 %,840,71.03
237,Jalna,Maharashtra,1959046,21.46 %,937,71.52
238,Chandauli,Uttar Pradesh,1952756,18.83 %,918,71.48
239,Kota,Rajasthan,1951014,24.39 %,911,76.56
240,Dhubri,Assam,1949258,24.44 %,953,58.34
241,Davanagere,Karnataka,1945497,8.63 %,972,75.74
242,Virudhunagar,Tamil Nadu,1942288,10.91 %,1007,80.15
243,Palamu,Jharkhand,1939869,26.17 %,928,63.63
244,Raichur,Karnataka,1928812,15.51 %,1000,59.56
245,Sonitpur,Assam,1924110,15.55 %,956,67.34
246,Saharsa,Bihar,1900661,26.02 %,906,53.2
247,Patiala,Punjab,1895686,19.62 %,891,75.28
248,Haridwar,Uttarakhand,1890422,30.63 %,880,73.43
249,Bagalkot,Karnataka,1889752,14.40 %,989,68.82
250,Farrukhabad,Uttar Pradesh,1885204,20.05 %,874,69.04
251,Krishnagiri,Tamil Nadu,1879809,20.41 %,958,71.46
252,West Nimar,Madhya Pradesh,1873046,22.85 %,965,62.7
253,Kanniyakumari,Tamil Nadu,1870374,11.60 %,1019,91.75
254,Mainpuri,Uttar Pradesh,1868529,17.02 %,881,75.99
255,Sonbhadra,Uttar Pradesh,1862559,27.27 %,918,64.03
256,Dharwad,Karnataka,1847023,15.13 %,971,80
257,Darjiling,West Bengal,1846823,14.77 %,970,79.56
258,Jyotiba Phule Nagar,Uttar Pradesh,1840221,22.76 %,910,63.84
259,Parbhani,Maharashtra,1836086,20.19 %,947,73.34
260,Jalor,Rajasthan,1828730,26.21 %,952,54.86
261,Jajapur,Orissa,1827192,12.49 %,973,80.13
262,Akola,Maharashtra,1813906,11.27 %,946,88.05
263,Faridabad,Haryana,1809733,32.54 %,873,81.7
264,Mandya,Karnataka,1805769,2.38 %,995,70.4
265,Kendujhar,Orissa,1801733,15.35 %,988,68.24
266,Banda,Uttar Pradesh,1799410,17.05 %,863,66.67
267,Banswara,Rajasthan,1797485,26.53 %,980,56.33
268,Ramabai Nagar,Uttar Pradesh,1796184,14.89 %,865,75.78
269,Hassan,Karnataka,1776421,3.18 %,1010,76.07
270,Hanumangarh,Rajasthan,1774692,16.91 %,906,67.13
271,Etah,Uttar Pradesh,1774480,13.62 %,873,70.81
272,Chhattarpur,Madhya Pradesh,1762375,19.51 %,883,63.74
273,Jamui,Bihar,1760405,25.85 %,922,59.79
274,Surendranagar,Gujarat,1756268,15.91 %,930,72.13
275,Shimoga,Karnataka,1752753,6.71 %,998,80.45
276,Thoothukkudi,Tamil Nadu,1750176,11.32 %,1023,86.16
277,Hisar,Haryana,1743931,13.45 %,872,72.89
278,Cachar,Assam,1736617,20.19 %,959,79.34
279,Hazaribagh,Jharkhand,1734495,20.65 %,947,69.75
280,Namakkal,Tamil Nadu,1726601,15.61 %,986,74.63
281,Shivpuri,Madhya Pradesh,1726050,22.76 %,877,62.55
282,West Tripura,Tripura,1725739,12.57 %,962,88.69
283,Sant Kabir Nagar,Uttar Pradesh,1715183,20.77 %,972,66.72
284,East Delhi,Delhi,1709346,16.79 %,884,89.31
285,Buxar,Bihar,1706352,21.67 %,922,70.14
286,Valsad,Gujarat,1705678,20.92 %,922,78.55
287,Bidar,Karnataka,1703300,13.37 %,956,70.51
288,Bhind,Madhya Pradesh,1703005,19.21 %,837,75.26
289,Balaghat,Madhya Pradesh,1701698,13.60 %,1021,77.09
290,Puri,Orissa,1698730,13.05 %,963,84.67
291,Dehradun,Uttarakhand,1696694,32.33 %,902,84.25
292,Barpeta,Assam,1693622,21.43 %,953,63.81
293,Kishanganj,Bihar,1690400,30.40 %,950,55.46
294,Jalaun,Uttar Pradesh,1689974,16.19 %,865,73.75
295,Dakshin Dinajpur,West Bengal,1676276,11.52 %,956,72.82
296,Khagaria,Bihar,1666886,30.19 %,886,57.92
297,Chitradurga,Karnataka,1659456,9.33 %,974,73.71
298,Osmanabad,Maharashtra,1657576,11.50 %,924,78.44
299,Kannauj,Uttar Pradesh,1656616,19.27 %,879,72.7
300,Sangrur,Punjab,1655169,12.35 %,885,67.99
301,Balangir,Orissa,1648997,23.32 %,987,64.72
302,Udham Singh Nagar,Uttarakhand,1648902,33.45 %,920,73.1
303,Nandurbar,Maharashtra,1648295,25.66 %,978,64.38
304,Gautam Buddha Nagar,Uttar Pradesh,1648115,37.11 %,851,80.12
305,Bhiwani,Haryana,1634445,14.70 %,886,75.21
306,Dausa,Rajasthan,1634409,24.09 %,905,68.16
307,Kaimur,Bihar,1626384,26.17 %,920,69.34
308,Janjgir Champa,Chhattisgarh,1619707,22.94 %,986,73.07
309,Pudukkottai,Tamil Nadu,1618345,10.88 %,1015,77.19
310,Nagapattinam,Tamil Nadu,1616450,8.57 %,1025,83.59
311,Ratnagiri,Maharashtra,1615069,-4.82 %,1122,82.18
312,Kaushambi,Uttar Pradesh,1599596,23.70 %,908,61.28
313,Haveri,Karnataka,1597668,11.02 %,950,77.4
314,Hoshiarpur,Punjab,1586625,7.11 %,961,84.59
315,Etawah,Uttar Pradesh,1581810,18.15 %,870,78.41
316,Sant Ravidas Nagar,Uttar Pradesh,1578213,16.58 %,955,68.97
317,Kalahandi,Orissa,1576869,18.07 %,1003,59.22
318,Betul,Madhya Pradesh,1575362,12.92 %,971,68.9
319,Mahamaya Nagar,Uttar Pradesh,1564708,17.12 %,871,71.59
320,Dewas,Madhya Pradesh,1563715,19.53 %,942,69.35
321,Bharuch,Gujarat,1551019,13.16 %,925,81.51
322,Rajgarh,Madhya Pradesh,1545814,23.26 %,956,61.21
323,Chittaurgarh,Rajasthan,1544338,16.08 %,972,61.71
324,Rajnandgaon,Chhattisgarh,1537133,19.79 %,1015,75.96
325,Kolar,Karnataka,1536401,10.77 %,979,74.39
326,Jammu,Jammu and Kashmir,1529958,12.74 %,880,83.45
327,Kamrup,Assam,1517542,15.69 %,949,75.55
328,Gurgaon,Haryana,1514432,73.96 %,854,84.7
329,Amreli,Gujarat,1514190,8.63 %,964,74.25
330,Shajapur,Madhya Pradesh,1512681,17.20 %,938,69.09
331,Kangra,Himachal Pradesh,1510075,12.77 %,1012,85.67
332,Dharmapuri,Tamil Nadu,1506843,16.34 %,946,68.54
333,Bhadrak,Orissa,1506337,12.94 %,981,82.78
334,Karnal,Haryana,1505324,18.14 %,887,74.73
335,Pashchimi Singhbhum,Jharkhand,1502338,21.75 %,1005,58.63
336,Raigarh,Chhattisgarh,1493984,18.05 %,991,73.26
337,Deoghar,Jharkhand,1492073,28.03 %,925,64.85
338,Bargarh,Orissa,1481255,10.02 %,977,74.62
339,Vidisha,Madhya Pradesh,1458875,20.09 %,896,70.53
340,Karauli,Rajasthan,1458248,20.55 %,861,66.22
341,Ratlam,Madhya Pradesh,1455069,19.72 %,971,66.78
342,Sonipat,Haryana,1450001,13.35 %,856,79.12
343,Tikamgarh,Madhya Pradesh,1445166,20.13 %,901,61.43
344,Kendrapara,Orissa,1440361,10.63 %,1007,85.15
345,Uttara Kannada,Karnataka,1437169,6.17 %,979,84.06
346,Kanshiram Nagar,Uttar Pradesh,1436719,16.93 %,880,61.02
347,Tonk,Rajasthan,1421326,17.30 %,952,61.58
348,Bastar,Chhattisgarh,1413199,17.96 %,1023,54.4
349,Jhalawar,Rajasthan,1411129,19.55 %,946,61.5
350,Gandhinagar,Gujarat,1391753,4.29 %,923,84.16
351,Koppal,Karnataka,1389920,16.21 %,986,68.09
352,Dungarpur,Rajasthan,1388552,25.36 %,994,59.46
353,Bathinda,Punjab,1388525,17.34 %,868,68.28
354,Barwani,Madhya Pradesh,1385881,27.57 %,982,49.08
355,Koraput,Orissa,1379647,16.86 %,1032,49.21
356,Auraiya,Uttar Pradesh,1379545,16.91 %,864,78.95
357,Seoni,Madhya Pradesh,1379131,18.22 %,982,72.12
358,Munger,Bihar,1367765,20.21 %,876,70.46
359,Ramanathapuram,Tamil Nadu,1353445,13.96 %,983,80.72
360,Patan,Gujarat,1343734,13.61 %,935,72.3
361,Mandsaur,Madhya Pradesh,1340411,13.24 %,963,71.78
362,Sivaganga,Tamil Nadu,1339101,15.90 %,1003,79.85
363,Sawai Madhopur,Rajasthan,1335551,19.56 %,897,65.39
364,Jind,Haryana,1334152,12.13 %,871,71.44
365,Raisen,Madhya Pradesh,1331597,18.35 %,901,72.98
366,Navsari,Gujarat,1329672,8.15 %,961,83.88
367,Tinsukia,Assam,1327929,15.47 %,952,69.66
368,Dibrugarh,Assam,1326335,11.92 %,961,76.05
369,Garhwa,Jharkhand,1322784,27.75 %,935,60.33
370,Gondiya,Maharashtra,1322507,10.14 %,999,84.95
371,Dumka,Jharkhand,1321442,19.42 %,977,61.02
372,Godda,Jharkhand,1313551,25.35 %,938,56.4
373,Sehore,Madhya Pradesh,1311332,21.54 %,918,70.06
374,East Nimar,Madhya Pradesh,1310061,21.50 %,943,66.39
375,Kasaragod,Kerala,1307375,8.58 %,1080,90.09
376,Baghpat,Uttar Pradesh,1303048,11.95 %,861,72.01
377,Wardha,Maharashtra,1300774,5.18 %,946,86.99
378,Sirsa,Haryana,1295189,15.99 %,897,68.82
379,Katni,Madhya Pradesh,1292042,21.41 %,952,71.98
380,Anugul,Orissa,1273821,11.74 %,943,77.53
381,Thiruvarur,Tamil Nadu,1264277,8.11 %,1017,82.86
382,Damoh,Madhya Pradesh,1264219,16.63 %,910,69.73
383,Chikkaballapura,Karnataka,1255104,9.23 %,972,69.76
384,Kamrup Metropolitan,Assam,1253938,18.34 %,936,88.71
385,Theni,Tamil Nadu,1245899,13.89 %,991,77.26
386,Guna,Madhya Pradesh,1241519,26.97 %,912,63.23
387,Hoshangabad,Madhya Pradesh,1241350,14.49 %,914,75.29
388,Srinagar,Jammu and Kashmir,1236829,20.35 %,900,69.41
389,Karimganj,Assam,1228686,21.90 %,963,78.22
390,Baran,Rajasthan,1222755,19.68 %,929,66.66
391,Lalitpur,Uttar Pradesh,1221592,24.94 %,906,63.52
392,Nabarangapur,Orissa,1220946,19.03 %,1019,46.43
393,Yamunanagar,Haryana,1214205,16.57 %,877,77.99
394,Korba,Chhattisgarh,1206640,19.25 %,969,72.37
395,Dhaulpur,Rajasthan,1206516,22.71 %,846,69.08
396,Panipat,Haryana,1205437,24.60 %,864,75.94
397,Bhandara,Maharashtra,1200334,5.65 %,982,83.76
398,Pathanamthitta,Kerala,1197412,-2.97 %,1132,96.55
399,Washim,Maharashtra,1197160,17.34 %,930,83.25
400,Dhenkanal,Orissa,1192811,11.80 %,947,78.76
401,Singrauli,Madhya Pradesh,1178273,28.05 %,920,60.41
402,Udupi,Karnataka,1177361,5.85 %,1094,86.24
403,Hingoli,Maharashtra,1177345,19.27 %,942,78.17
404,Yadgir,Karnataka,1174271,22.81 %,989,51.83
405,Rajsamand,Rajasthan,1156597,17.18 %,990,63.14
406,Sivasagar,Assam,1151050,9.44 %,954,80.41
407,Sahibganj,Jharkhand,1150567,24.01 %,952,52.04
408,Chikmagalur,Karnataka,1137961,-0.26 %,1008,79.25
409,Jagatsinghapur,Orissa,1136971,7.50 %,968,86.59
410,Ambala,Haryana,1128350,11.23 %,885,81.75
411,Sidhi,Madhya Pradesh,1127033,23.72 %,957,64.43
412,Jehanabad,Bihar,1125313,21.68 %,922,66.8
413,Tarn Taran,Punjab,1119627,19.23 %,900,67.81
414,Shrawasti,Uttar Pradesh,1117361,-5.02 %,881,46.74
415,Bundi,Rajasthan,1110906,15.40 %,925,61.52
416,Idukki,Kerala,1108974,-1.79 %,1006,91.99
417,Hamirpur,Uttar Pradesh,1104285,5.80 %,861,68.77
418,Jorhat,Assam,1092256,9.31 %,962,82.15
419,Narsimhapur,Madhya Pradesh,1091854,14.01 %,920,75.69
420,Mewat,Haryana,1089263,37.93 %,907,54.08
421,Ramanagara,Karnataka,1082636,5.05 %,976,69.22
422,Anantnag,Jammu and Kashmir,1078692,38.58 %,927,62.69
423,Kaithal,Haryana,1074304,13.55 %,881,69.15
424,Gadchiroli,Maharashtra,1072942,10.58 %,982,74.36
425,Golaghat,Assam,1066888,12.75 %,964,77.43
426,Shahdol,Madhya Pradesh,1066063,17.39 %,974,66.67
427,Saraikela Kharsawan,Jharkhand,1065056,25.47 %,956,67.7
428,Gadag,Karnataka,1064570,9.54 %,982,75.12
429,Karur,Tamil Nadu,1064493,13.77 %,1015,75.6
430,Rohtak,Haryana,1061204,12.88 %,867,80.22
431,Chandigarh,Chandigarh,1055450,17.19 %,818,86.05
432,Mandla,Madhya Pradesh,1054905,17.97 %,1008,66.87
433,Chatra,Jharkhand,1042886,31.77 %,953,60.18
434,Palwal,Haryana,1042708,25.76 %,880,69.32
435,Lakhimpur,Assam,1042137,17.22 %,968,77.2
